Date,ADA-USD,AVAX-USD,BNB-USD,BTC-USD,DOGE-USD,ETH-USD,SOL-USD,TON11419-USD,USDT-USD,XRP-USD
2024-05-01,526114091,620506676,1502825527,48439780271,2135887034,20005057445,4136407963,272864705,76859530069,1720060134
2024-05-02,357372995,352653461,877449354,32711813559,1308884973,13163903903,3380078368,207607592,54769809487,1118497654
2024-05-03,331867585,314837755,854728192,33172023048,1266276714,12862183229,3216962298,323130320,53871028495,1138445190
2024-05-04,245730966,376360200,582273374,20620477992,2791346636,8283229638,3050187811,175472981,39527945715,686389982
2024-05-05,239700527,338713061,531182053,18296164805,1506950274,8783447639,2034794725,186032096,36224596673,535784827
2024-05-06,351154325,552983720,1522319999,28697928697,1747675308,13008587255,2926902880,253501369,52931405950,1774389100
2024-05-07,307476823,369709353,1535678414,25930730982,1139969527,11743187337,2687619013,164592364,46143834059,1132990207
2024-05-08,505082625,408813425,1603241013,26088172222,1159774226,11791662158,2502237557,205649661,46623837988,1122168971
2024-05-09,318406873,314300331,1897318659,25453338161,1093467705,10861947179,2249863780,453078826,46236991775,978009518
2024-05-10,309333437,394839671,1521708160,27804954694,1056928481,12278653601,2471594251,771730099,50244486838,1100350623
2024-05-11,188484210,226017886,1333662111,13842272968,533516788,6795916454,1243751505,328410800,29171047578,447992708
2024-05-12,158134071,160171039,1276671115,13800459405,601107964,5908941395,936690341,296325364,25865589825,397026846
2024-05-13,378773938,377640764,1636169234,27889181179,1918835792,13352264795,2556255769,839225134,53205467613,991525778
2024-05-14,313435137,414009522,1944063031,28186271527,1899294334,12444516140,2586166419,491939884,57380795961,1077455413
2024-05-15,357450532,493195941,1895100260,39815167074,1767635344,14666902956,3585715674,350166792,70663923975,1118098628
2024-05-16,367462393,363745936,1911862000,31573077994,1374063837,13035465176,3498272951,828819444,62000126842,1152212983
2024-05-17,447612110,503901274,1557134929,28031279310,1112782871,14449438097,3371355809,372977555,56249728895,1015239692
2024-05-18,240076401,312377541,1358737176,16712277406,771261615,9407051320,2479657643,233193557,39091871989,496850725
2024-05-19,250323995,308506373,1298887094,19249094538,786457296,8747800800,2300080451,170287351,38312293613,562911149
