Date,Price,SMA_5,SMA_20,EMA_5,EMA_20,Upper_Band_20,Lower_Band_20,High_20,Low_20,Target,predicted_price_change_direction
2024-05-20,71448.1953125,67390.16484375,63431.599609375,67715.38821851672,63905.58370970958,69645.78367810334,57217.41554064665,71448.1953125,58254.01171875,70136.53125,0
2024-05-21,70136.53125,68371.1546875,64025.7255859375,68522.43589567782,64499.007284975334,70424.991591709,57626.45958016601,71448.1953125,59123.43359375,69122.3359375,0
2024-05-22,69122.3359375,68785.246875,64525.670703125,68722.40257628521,64939.324299501495,70874.46990338746,58176.87150286253,71448.1953125,60792.77734375,67929.5625,0
2024-05-23,67929.5625,68982.9984375,64777.65703125,68458.12255085682,65224.10889002516,71251.89789954158,58303.41616295841,71448.1953125,60792.77734375,68526.1015625,0
2024-05-24,68526.1015625,69432.5453125,65009.3884765625,68480.78222140454,65538.58438264181,71678.903566654,58339.873386470994,71448.1953125,60792.77734375,69265.9453125,0
2024-05-25,69265.9453125,68996.0953125,65271.1291015625,68742.5032517697,65893.5711378664,72185.38102910646,58356.87717401855,71448.1953125,60792.77734375,68518.09375,0
2024-05-26,68518.09375,68672.4078125,65538.936328125,68667.70008451314,66143.52567235532,72523.76807603643,58554.104580213556,71448.1953125,60792.77734375,69394.5546875,0
2024-05-27,69394.5546875,68726.8515625,65891.9232421875,68909.98495217544,66453.14748332147,72908.4423570809,58875.40412729411,71448.1953125,60792.77734375,68296.21875,0
2024-05-28,68296.21875,68800.1828125,66247.337109375,68705.39621811696,66628.678080148,72974.76140357135,59519.912815178664,71448.1953125,60792.77734375,67578.09375,0
2024-05-29,67578.09375,68610.58125,66473.74375,68329.62872874465,66719.09862013391,73051.20331839507,59896.284181604926,71448.1953125,60792.77734375,68364.9921875,0
2024-05-30,68364.9921875,68430.390625,66852.3544921875,68341.41654832977,66875.85038845449,72903.63791825422,60801.071066120785,71448.1953125,60793.7109375,67491.4140625,0
2024-05-31,67491.4140625,68225.0546875,67187.2396484375,68058.08238638652,66934.47550026835,72526.15185365645,61848.32744321855,71448.1953125,61448.39453125,67706.9375,0
2024-06-01,67706.9375,67887.53125,67500.166796875,67941.03409092435,67008.0433097666,72106.13995228475,62894.19364146524,71448.1953125,61552.7890625,67751.6015625,0
2024-06-02,67751.6015625,67778.6078125,67742.6744140625,67877.8899147829,67078.85838145549,71808.1908518939,63677.157976231094,71448.1953125,61552.7890625,68804.78125,1
2024-06-03,68804.78125,68023.9453125,68105.2740234375,68186.8536931886,67243.23198798354,70959.40618155108,65251.1418653239,71448.1953125,65231.58203125,70567.765625,-1
2024-06-04,70567.765625,68464.5,68320.2876953125,68980.49100379241,67559.85423912796,71238.67367733447,65401.90171329051,71448.1953125,65231.58203125,71082.8203125,-1
