Date,Price,Actual,Predicted
2024-06-02,67751.6015625,68804.78125,67956.914
2024-06-03,68804.78125,70567.765625,68372.734
2024-06-04,70567.765625,71082.8203125,70100.46
2024-06-05,71082.8203125,70757.1640625,70948.03
2024-06-06,70757.1640625,69342.5859375,70831.195
2024-06-07,69342.5859375,69305.7734375,69770.055
2024-06-08,69305.7734375,69647.9921875,70310.72
2024-06-09,69647.9921875,69512.28125,69908.16
2024-06-10,69512.28125,67332.03125,70339.5
2024-06-11,67332.03125,68241.1875,69062.086
2024-06-12,68241.1875,66756.3984375,68148.016
2024-06-13,66756.3984375,66011.09375,68965.98
2024-06-14,66011.09375,66191.0,67404.945
2024-06-15,66191.0,66639.046875,66236.43
2024-06-16,66639.046875,66490.296875,66635.34
2024-06-17,66490.296875,65140.74609375,66659.516
2024-06-18,65140.74609375,64960.296875,65734.53
2024-06-19,64960.296875,64828.65625,64987.176
2024-06-20,64828.65625,64096.19921875,64849.082
2024-06-21,64096.19921875,64252.578125,64127.51
2024-06-22,64252.578125,63180.796875,64247.523
2024-06-23,63180.796875,60277.4140625,63270.926
2024-06-24,60277.4140625,61804.640625,60342.973
2024-06-25,61804.640625,60811.27734375,61784.473
2024-06-26,60811.27734375,61604.80078125,61543.918
2024-06-27,61604.80078125,60320.13671875,61600.953
2024-06-28,60320.13671875,60887.37890625,61498.63
2024-06-29,60887.37890625,62678.29296875,61075.46
2024-06-30,62678.29296875,62851.98046875,61891.965
2024-07-01,62851.98046875,62029.015625,62727.51
2024-07-02,62029.015625,60173.921875,62505.867
2024-07-03,60173.921875,56977.703125,62166.34
2024-07-04,56977.703125,56662.375,57360.863
2024-07-05,56662.375,58303.5390625,56659.773
2024-07-06,58303.5390625,55849.109375,57023.695
2024-07-07,55849.109375,56705.09765625,57341.14
2024-07-08,56705.09765625,58009.2265625,57039.8
2024-07-09,58009.2265625,57742.49609375,57189.824
2024-07-10,57742.49609375,57344.9140625,57724.008
2024-07-11,57344.9140625,57899.46484375,57711.92
2024-07-12,57899.46484375,59231.953125,57332.824
2024-07-13,59231.953125,60787.79296875,57806.625
2024-07-14,60787.79296875,64870.15234375,60728.734
2024-07-15,64870.15234375,65097.1484375,62794.332
