Date,State,Action,Reward,Value_Before,Value_After,Price,Cash,Inventory
2025-02-20,"(-1, -1, 0, 0)",sell,0.0,10000.0,10000.0,3.605386972427368,10000.0,0.0
2025-02-21,"(1, -1, 0, 0)",sell,0.0,10000.0,10000.0,3.560874938964844,10000.0,0.0
2025-02-22,"(1, -1, 0, 0)",sell,0.0,10000.0,10000.0,3.742216110229492,10000.0,0.0
2025-02-23,"(-1, -1, 0, 0)",sell,0.0,10000.0,10000.0,3.766555070877075,10000.0,0.0
2025-02-24,"(1, -1, -1, -1)",buy,39.36454245477762,10000.0,9990.0,3.4125399589538574,10000.0,0.0
2025-02-25,"(-1, -1, 0, 0)",sell,-14.617195000710126,10029.364542454778,10028.335177912324,3.548229932785034,9000.0,290.1064930836715
2025-02-26,"(1, -1, 0, 0)",sell,-17.94119471984959,10013.717982911614,10012.806172018405,3.49224591255188,9101.907089703023,261.0958437753044
2025-02-27,"(1, -1, 0, 0)",sell,-18.613243687832437,9994.864977298555,9994.062288689387,3.415895938873291,9192.176368130673,234.98625939777395
2025-02-28,"(1, -1, -1, -1)",buy,-1.7732990476688428,9975.449045001555,9966.177402461115,3.3278849124908447,9271.642540438294,211.48763345799654
2025-03-01,"(1, -1, -1, 0)",hold,90.27501450776435,9964.404103413446,9964.404103413446,3.3242459297180176,8344.478286394464,487.30624967822206
2025-03-02,"(-1, -1, 0, 0)",sell,-195.32976728147696,10054.67911792121,10052.968917089684,3.5094990730285645,8344.478286394464,487.30624967822206
2025-03-03,"(1, -1, -1, -1)",buy,40.017186989651236,9857.639149808207,9849.12536163949,3.0641260147094727,8513.788168715611,438.57562471039984
2025-03-04,"(1, -1, 0, 0)",sell,-56.400360243980685,9889.142548629141,9886.915815432356,3.120199918746948,7662.40935184405,713.6508091697317
2025-03-05,"(1, -1, -1, 0)",hold,4.715726137528691,9830.515455188375,9830.515455188375,3.032387971878052,7882.855938325774,642.2857282527585
2025-03-06,"(1, -1, 0, 0)",sell,-31.26133643419962,9835.231181325904,9833.278806082904,3.0397300720214844,7882.855938325774,642.2857282527585
2025-03-07,"(1, -1, -1, 0)",hold,-18.589792110880808,9802.017469648705,9802.017469648705,2.985650062561035,8076.141087382787,578.0571554274827
2025-03-08,"(1, -1, -1, 0)",hold,-177.03460702315897,9783.427677537824,9783.427677537824,2.953490972518921,8076.141087382787,578.0571554274827
